date,news_title,news_content,source
2021-01-04,央行公开市场操作维持流动性稳定,人民银行以利率招标方式开展了20亿元逆回购操作，利率持平。专家认为，货币政策将保持连续性、稳定性、可持续性，不急转弯。,中国证券报
2021-02-22,房地产贷款集中度管理正式实施,央行、银保监会房地产贷款集中度管理制度正式实施，分档设置房地产贷款余额占比和个人住房贷款余额占比上限。旨在防范房地产金融风险。,21世纪经济报道
2021-03-05,2021年政府工作报告设定GDP增长目标6%以上,李克强总理作政府工作报告，提出2021年GDP增长目标为6%以上。报告强调要保持宏观政策连续性稳定性可持续性，促进经济运行在合理区间。,中国政府网
2021-04-12,央行货币政策委员会强调稳健货币政策,人民银行货币政策委员会召开会议，强调稳健的货币政策要灵活精准、合理适度，把服务实体经济放到更加突出的位置。,金融时报
2021-05-11,第七次人口普查数据公布,全国人口共141178万人，与2010年相比增加7206万人。数据显示人口老龄化程度加深，生育政策将进一步优化。,国家统计局
2021-06-10,猪肉价格持续下跌CPI涨幅回落,5月CPI同比上涨1.3%，涨幅比上月回落0.2个百分点。其中，猪肉价格下降23.8%。专家预计全年物价将保持温和上涨态势。,统计局网站
2021-07-15,央行全面降准释放1万亿流动性,人民银行决定于7月15日下调金融机构存款准备金率0.5个百分点，释放长期资金约1万亿元。此次降准旨在支持实体经济发展，促进综合融资成本稳中有降。,央行网站
2021-08-20,教育"双减"政策引发市场震荡,《关于进一步减轻义务教育阶段学生作业负担和校外培训负担的意见》发布，教育培训行业面临重大调整。相关上市公司股价大幅下跌。,教育部网站
2021-09-16,恒大债务危机引发市场担忧,中国恒大集团流动性危机持续发酵，债务规模超过1.9万亿元。市场担心可能引发系统性金融风险。监管部门表示将维护房地产市场平稳健康发展。,财新网
2021-10-13,煤炭价格暴涨能源供应紧张,动力煤期货价格突破2000元/吨，多地出现电力供应紧张。国家发改委等部门密集出台保供稳价措施，加大煤炭产量释放。,能源局
2021-11-24,央行下调支农支小再贷款利率,人民银行下调支农、支小再贷款利率0.25个百分点，此举旨在降低"三农"、小微企业融资成本。市场解读为货币政策边际宽松信号。,第一财经
2021-12-06,中央政治局会议定调2022年经济工作,会议提出继续实施积极的财政政策和稳健的货币政策。强调稳字当头、稳中求进，要继续做好"六稳"、"六保"工作。,新华社
2022-01-17,央行开展7000亿元MLF操作,人民银行开展7000亿元中期借贷便利(MLF)操作，中标利率2.85%，较上次下降10个基点。这是自2020年4月以来首次下调MLF利率。,路透社
2022-02-21,地缘政治风险升温影响市场,俄乌局势紧张，国际油价突破95美元/桶。全球金融市场避险情绪升温，黄金、美元等避险资产受到追捧。A股市场震荡调整。,国际财经观察
2022-03-16,美联储加息25个基点启动紧缩周期,美联储宣布加息25个基点，将联邦基金利率目标区间上调至0.25%-0.5%，这是自2018年12月以来首次加息。预计年内将多次加息以应对通胀。,美联储官网
2022-04-11,上海疫情防控对经济产生影响,上海疫情防控进入关键阶段，对经济运行和产业链供应链产生一定影响。政府出台多项纾困政策支持企业渡过难关。,上海日报
2022-05-15,央行和银保监会出台支持房地产政策,针对首套住房商业性个人住房贷款利率下限调整，多地下调房贷利率。旨在支持刚性和改善性住房需求。,银保监会
2022-06-01,上海全面恢复正常生产生活秩序,上海宣布全面恢复正常生产生活秩序，企业复工复产加速推进。市场预期经济将逐步回归正常轨道。,解放日报

